HDR,ROLLING SYSTEM DEMAND
VD,20200109214000,35008
VD,20200109214500,34684
VD,20200109215000,34330
VD,20200109215500,34000
VD,20200109220000,33685
VD,20200109220500,33394
VD,20200109221000,33073
VD,20200109221500,32565
VD,20200109222000,32180
VD,20200109222500,31783
VD,20200109223000,31369
VD,20200109223500,31054
VD,20200109224000,30799
VD,20200109224500,30537
VD,20200109225000,30165
VD,20200109225500,29860
VD,20200109230000,29582
VD,20200109230500,29268
VD,20200109231000,28992
VD,20200109231500,28684
VD,20200109232000,28147
VD,20200109232500,28122
VD,20200109233000,27920
VD,20200109233500,27828
VD,20200109234000,27696
VD,20200109234500,27365
VD,20200109235000,27200
VD,20200109235500,27098
VD,20200110000000,27022
VD,20200110000500,27139
VD,20200110001000,27063
VD,20200110001500,26999
VD,20200110002000,26949
VD,20200110002500,26965
VD,20200110003000,26911
VD,20200110003500,27041
VD,20200110004000,27042
VD,20200110004500,27170
VD,20200110005000,27170
VD,20200110005500,27228
VD,20200110010000,27215
VD,20200110010500,27326
VD,20200110011000,27351
VD,20200110011500,27286
VD,20200110012000,27126
VD,20200110012500,27086
VD,20200110013000,27006
VD,20200110013500,26988
VD,20200110014000,26964
VD,20200110014500,26925
VD,20200110015000,26941
VD,20200110015500,27013
VD,20200110020000,27016
VD,20200110020500,27096
VD,20200110021000,27158
VD,20200110021500,27078
VD,20200110022000,26828
VD,20200110022500,26898
VD,20200110023000,27024
VD,20200110023500,27092
VD,20200110024000,27061
VD,20200110024500,26963
VD,20200110025000,26903
VD,20200110025500,26836
VD,20200110030000,26805
VD,20200110030500,26943
VD,20200110031000,27028
VD,20200110031500,27125
VD,20200110032000,27220
VD,20200110032500,27331
VD,20200110033000,27494
VD,20200110033500,27598
VD,20200110034000,27650
VD,20200110034500,27601
VD,20200110035000,27445
VD,20200110035500,27530
VD,20200110040000,27458
VD,20200110040500,27051
VD,20200110041000,26965
VD,20200110041500,26947
VD,20200110042000,26886
VD,20200110042500,26868
VD,20200110043000,26943
VD,20200110043500,27057
VD,20200110044000,27098
VD,20200110044500,27086
VD,20200110045000,27037
VD,20200110045500,27000
VD,20200110050000,27054
VD,20200110050500,27091
VD,20200110051000,27046
VD,20200110051500,26995
VD,20200110052000,26939
VD,20200110052500,26914
VD,20200110053000,27012
VD,20200110053500,27291
VD,20200110054000,27491
VD,20200110054500,27651
VD,20200110055000,27921
VD,20200110055500,28172
VD,20200110060000,28412
VD,20200110060500,29098
VD,20200110061000,29875
VD,20200110061500,30299
VD,20200110062000,30762
VD,20200110062500,31325
VD,20200110063000,31910
VD,20200110063500,32592
VD,20200110064000,32873
VD,20200110064500,33289
VD,20200110065000,33865
VD,20200110065500,34663
VD,20200110070000,35349
VD,20200110070500,36334
VD,20200110071000,37193
VD,20200110071500,37981
VD,20200110072000,38434
VD,20200110072500,38803
VD,20200110073000,38982
VD,20200110073500,38889
VD,20200110074000,38993
VD,20200110074500,39163
VD,20200110075000,39569
VD,20200110075500,39715
VD,20200110080000,39841
VD,20200110080500,39974
VD,20200110081000,40135
VD,20200110081500,40148
VD,20200110082000,40154
VD,20200110082500,39804
VD,20200110083000,39702
VD,20200110083500,39707
VD,20200110084000,39648
VD,20200110084500,39620
VD,20200110085000,39685
VD,20200110085500,39624
VD,20200110090000,39706
VD,20200110090500,39774
VD,20200110091000,39698
VD,20200110091500,39623
VD,20200110092000,39507
VD,20200110092500,39586
VD,20200110093000,39566
VD,20200110093500,39424
VD,20200110094000,39411
VD,20200110094500,39470
VD,20200110095000,39624
VD,20200110095500,39619
VD,20200110100000,39248
VD,20200110100500,39152
VD,20200110101000,39150
VD,20200110101500,39117
VD,20200110102000,39025
VD,20200110102500,39019
VD,20200110103000,39009
VD,20200110103500,38878
VD,20200110104000,38973
VD,20200110104500,39044
VD,20200110105000,38826
VD,20200110105500,38783
VD,20200110110000,38696
VD,20200110110500,38421
VD,20200110111000,38536
VD,20200110111500,38541
VD,20200110112000,38432
VD,20200110112500,38402
VD,20200110113000,38501
VD,20200110113500,38628
VD,20200110114000,38741
VD,20200110114500,38607
VD,20200110115000,38574
VD,20200110115500,38699
VD,20200110120000,38705
VD,20200110120500,38411
VD,20200110121000,38545
VD,20200110121500,38701
VD,20200110122000,38634
VD,20200110122500,38559
VD,20200110123000,38569
VD,20200110123500,38505
VD,20200110124000,38628
VD,20200110124500,38563
VD,20200110125000,38527
VD,20200110125500,38419
VD,20200110130000,38430
VD,20200110130500,38449
VD,20200110131000,38336
VD,20200110131500,38223
VD,20200110132000,37907
VD,20200110132500,37963
VD,20200110133000,37870
VD,20200110133500,37885
VD,20200110134000,37875
VD,20200110134500,37861
VD,20200110135000,37732
VD,20200110135500,37697
VD,20200110140000,37892
VD,20200110140500,37964
VD,20200110141000,38110
VD,20200110141500,38130
VD,20200110142000,38123
VD,20200110142500,38071
VD,20200110143000,38042
VD,20200110143500,38066
VD,20200110144000,38093
VD,20200110144500,38206
VD,20200110145000,38240
VD,20200110145500,38297
VD,20200110150000,38127
VD,20200110150500,38247
VD,20200110151000,38476
VD,20200110151500,38577
VD,20200110152000,38648
VD,20200110152500,38773
VD,20200110153000,39008
VD,20200110153500,39260
VD,20200110154000,39458
VD,20200110154500,39547
VD,20200110155000,39809
VD,20200110155500,40060
VD,20200110160000,40263
VD,20200110160500,40348
VD,20200110161000,40647
VD,20200110161500,40812
VD,20200110162000,41011
VD,20200110162500,41250
VD,20200110163000,41514
VD,20200110163500,41843
VD,20200110164000,42116
VD,20200110164500,42433
VD,20200110165000,42711
VD,20200110165500,42862
VD,20200110170000,42910
VD,20200110170500,42783
VD,20200110171000,42814
VD,20200110171500,42882
VD,20200110172000,42889
VD,20200110172500,42901
VD,20200110173000,42821
VD,20200110173500,42809
VD,20200110174000,42798
VD,20200110174500,42688
VD,20200110175000,42480
VD,20200110175500,42389
VD,20200110180000,42216
VD,20200110180500,42107
VD,20200110181000,41838
VD,20200110181500,41600
VD,20200110182000,41436
VD,20200110182500,41255
VD,20200110183000,41104
VD,20200110183500,41088
VD,20200110184000,40797
VD,20200110184500,40579
VD,20200110185000,40424
VD,20200110185500,40352
VD,20200110190000,40156
VD,20200110190500,40235
VD,20200110191000,40166
VD,20200110191500,39918
VD,20200110192000,39774
VD,20200110192500,39537
VD,20200110193000,39279
VD,20200110193500,39129
VD,20200110194000,39036
VD,20200110194500,38817
VD,20200110195000,38544
VD,20200110195500,38244
VD,20200110200000,37973
VD,20200110200500,37795
VD,20200110201000,37584
VD,20200110201500,37149
VD,20200110202000,36672
VD,20200110202500,36313
VD,20200110203000,35957
VD,20200110203500,35680
VD,20200110204000,35350
VD,20200110204500,35239
VD,20200110205000,35042
VD,20200110205500,34845
VD,20200110210000,34405
VD,20200110210500,34224
VD,20200110211000,33948
VD,20200110211500,33638
VD,20200110212000,33321
VD,20200110212500,32932
VD,20200110213000,32560
VD,20200110213500,32428
VD,20200110214000,32115
VD,20200110214500,31846
VD,20200110215000,31643
VD,20200110215500,31350
VD,20200110220000,30811
VD,20200110220500,30972
VD,20200110221000,31258
VD,20200110221500,31135
VD,20200110222000,30836
VD,20200110222500,30437
VD,20200110223000,30036
VD,20200110223500,29811
VD,20200110224000,29484
VD,20200110224500,29008
VD,20200110225000,28578
VD,20200110225500,28372
VD,20200110230000,27915
VD,20200110230500,27137
VD,20200110231000,26523
VD,20200110231500,26228
VD,20200110232000,25983
VD,20200110232500,25823
VD,20200110233000,25605
VD,20200110233500,25505
VD,20200110234000,25344
VD,20200110234500,25085
VD,20200110235000,24957
VD,20200110235500,24856
VD,20200111000000,24811
VD,20200111000500,25169
VD,20200111001000,25566
VD,20200111001500,25506
VD,20200111002000,25153
VD,20200111002500,25041
VD,20200111003000,24970
